rank,model,char,period,claim,gift,tier
1,0,0,0,1,1,1-25
2,0,0,0,1,1,1-25
3,1,0,1,0,1,1-25
4,1,0,0,0,1,1-25
5,1,0,1,0,1,1-25
6,1,0,1,0,1,1-25
7,1,0,1,1,0,1-25
8,1,0,1,0,1,1-25
9,0,0,1,0,0,1-25
10,0,0,0,0,1,1-25
11,0,1,0,1,0,1-25
12,0,0,0,0,1,1-25
13,0,0,1,0,1,1-25
14,1,0,0,1,1,1-25
15,1,0,0,1,1,1-25
16,0,0,0,1,0,1-25
17,1,0,1,1,1,1-25
18,0,0,0,0,1,1-25
19,0,0,1,0,1,1-25
20,0,0,1,0,1,1-25
21,0,0,1,0,1,1-25
22,0,0,0,0,1,1-25
23,1,0,1,1,1,1-25
24,0,0,0,0,1,1-25
26,0,0,1,0,1,26-50
27,0,0,0,0,1,26-50
28,1,0,0,1,0,26-50
29,1,0,0,1,0,26-50
30,0,0,1,0,1,26-50
31,0,0,0,1,1,26-50
32,1,0,1,1,0,26-50
33,0,0,1,0,1,26-50
34,1,0,1,1,1,26-50
35,1,0,1,0,1,26-50
36,0,1,0,1,1,26-50
37,1,0,1,1,1,26-50
38,1,0,1,0,0,26-50
39,0,0,0,0,0,26-50
40,1,0,1,1,1,26-50
41,1,0,0,0,1,26-50
42,1,0,1,0,1,26-50
43,0,0,1,0,1,26-50
44,0,0,1,0,0,26-50
45,0,0,1,0,1,26-50
46,1,0,0,1,0,26-50
47,0,0,0,1,1,26-50
48,1,0,0,1,0,26-50
49,1,0,1,0,1,26-50
50,0,0,0,1,0,26-50
51,0,0,0,1,0,51-75
52,1,0,0,0,1,51-75
53,1,0,0,0,1,51-75
54,0,0,0,1,1,51-75
55,1,0,1,0,1,51-75
57,0,0,0,0,1,51-75
58,1,0,1,0,1,51-75
59,0,0,0,1,0,51-75
60,0,0,0,1,1,51-75
61,0,0,0,1,1,51-75
62,0,0,0,1,1,51-75
63,0,0,1,1,1,51-75
66,0,0,0,0,0,51-75
67,0,0,0,1,0,51-75
68,0,0,1,1,0,51-75
69,1,0,0,1,1,51-75
70,0,0,0,1,0,51-75
71,1,0,1,0,1,51-75
72,1,0,1,0,0,51-75
74,0,0,0,1,0,51-75
75,0,0,1,0,0,51-75
76,0,0,1,1,0,76-100
77,0,0,1,0,1,76-100
78,0,1,0,0,1,76-100
79,0,0,0,0,1,76-100
80,0,0,0,1,1,76-100
81,1,0,0,0,1,76-100
82,1,0,0,0,0,76-100
83,0,0,0,1,1,76-100
84,0,0,1,0,0,76-100
85,0,0,0,1,0,76-100
86,0,0,0,0,1,76-100
87,0,1,0,1,1,76-100
88,1,0,1,0,1,76-100
89,0,0,0,1,1,76-100
90,0,0,0,1,0,76-100
91,0,0,0,1,1,76-100
92,0,0,0,1,1,76-100
93,1,0,1,0,0,76-100
94,1,0,0,1,1,76-100
96,1,0,0,1,0,76-100
98,0,0,1,0,1,76-100
