no,상품번호,브랜드,상품명,순위,카테고리,file,person,period,gift,claim
1,A000000218845,릴리이브,[대용량/브러쉬원조] 릴리이브 그로우턴 엑소좀 브러쉬 앰플 기획 2종,3,헤어케어,2330975096b9b607.jpg,1,0,1,1
2,A000000007011,니베아,[15년연속1위] 니베아 데오드란트 롤온 7종,1,바디케어,7986191bf15d7811.jpg,0,0,0,1
3,A000000253093,바닐라코,[8월올영픽/1등 파우더] 바닐라코 프라임 프라이머 피니쉬 파우더 12g,15,메이크업,fe5bad747da0e3ed.jpg,1,0,1,1
4,B000000214328,오아,오아 퀵차지팩 휴대용 미니 보조배터리 10000mAh,15,취미/팬시,01bbb5b51ef98aa2.jpg,0,0,0,0
5,A000000232672,메디힐,[양현종 PICK] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50+50g 기획,6,선케어,26f0c9cbb6c46ccc.jpg,1,0,1,1
6,A000000202413,라보에이치,라보에이치 두피강화클리닉 앰플토닉 100ML+100ML리필 기획,8,헤어케어,48e36c3e9dbac577.jpg,0,0,1,0
7,A000000189870,반디,[베스트] 반디 핑크다이아 뿌리세럼 17ml,20,네일,ed17f1bc79926adb.jpg,0,0,0,0
8,A000000165797,넘버즈인,[8.22 하루특가/대용량] 넘버즈인 1번 말끔 순삭 클렌징 오일 400ml 대용량,2,클렌징,de2f5267f3bb12fd.jpg,0,1,0,0
9,A000000175634,푸드올로지,[8월 올영픽/서현PICK] 콜레올로지 PRO 600mg*30(+10)/60정 단품,5,건강식품,36aa292ac375c92e.jpg,1,0,1,1
10,B000000154973,더리얼,더리얼 동결건조 트릿 4종 택1,20,홈리빙/가전,bc6ed17021efb89e.jpg,0,0,0,0
11,A000000205979,넘버즈인,[8월올영픽/10매] 넘버즈인 마스크팩 10매 기획 2종 중 택 1 (1번/4번),6,마스크팩,395bca031317d507.jpg,0,1,1,1
12,A000000224333,텐가,텐가 플레이젤 160ml 3종 택 1 (리치아쿠아/네츄럴웨트/다이렉트 필),17,위생용품,87b708d6e49810ec.jpg,0,0,0,0
13,A000000146889,리무브,[밀착특허기술] 리무브 플레인 스킨브라 (무접착제) 4종,17,패션,51e1b3e086514756.jpg,0,0,0,1
14,A000000251000,푸드올로지,푸드올로지 지중해 오일만 클렌즈 10포 (단품/기획),10,푸드,78ad54568839a1c9.jpg,1,0,0,1
15,A000000205490,프로뉴트리션,프로뉴트리션 클로라인 700mg*9정+9정,11,건강식품,0049251182556c08.jpg,0,0,0,0
16,A000000164875,라운드어라운드,라운드어라운드 선인장 디퓨저 2종 택1,13,향수/디퓨저,8c2762827bccdded.jpg,0,0,0,0
17,A000000226491,나른,(하의) 나른 브레즘 인앤아웃 숏트렁크 (6 colors),13,패션,b7b57fc9ed5a1eca.jpg,1,0,0,0
18,A000000186792,도브,도브 바디 스크럽 298g 4종 택 1,8,바디케어,55be52b24dfe72f8.jpg,0,0,0,0
19,A000000219553,구달,[1등 선크림/화잘먹] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1 기획,2,선케어,8afbaf69b0b39f1b.jpg,0,0,1,1
20,A000000157016,덴티스테,덴티스테 민트볼 20입,17,구강용품,55dde0f51fc884d4.jpg,1,0,0,0
21,A000000154447,루치펠로,루치펠로 코랄리프 7도 칫솔 4입 세트,4,구강용품,de498d037d9cbf46.jpg,0,0,0,0
22,B000000260628,얼모스트블루,얼모스트블루 스노우 플립 디지털 카메라 키링 8종 택1,9,취미/팬시,34fa15276ffe41e2.jpg,0,0,0,0
23,A000000243616,멕리듬,멕리듬 온열 순환 스팀 아이마스크 5매 7종 택1 (무향/라벤더/캐모마일/숲속/유자/히노키/금목서),19,헬스/건강용품,ccd00334fab17e43.jpg,0,0,0,0
24,A000000250215,시미토리,탑 시미토리 레스큐 얼룩제거제 17ml,3,홈리빙/가전,4e7b6190eb04e696.jpg,0,0,0,0
25,A000000250199,셀리맥스,[단독기획/모공탄력] 셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 15ml 기획(+3ml),9,스킨케어,ed64a4b120be9ce9.png,0,0,1,0
26,A000000227418,크런틴,[NEW블루베리요거팝] 크런틴 크런치볼 단백질쉐이크 50g 5종 택 1,19,푸드,7b7eaf9ce3cf1484.jpg,0,0,0,0
27,B000000232005,슬립앤슬립,[아이유PICK] 슬립앤슬립 깊은잠 베개,9,홈리빙/가전,05802d9ed77c04fd.png,1,0,0,0
28,A000000232725,달바,[생기톤업/스웨트프루프] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),12,선케어,bfed50be6c6708f7.png,0,0,0,1
29,A000000199062,락토핏,[8월 올영픽] 락토핏 골드 트리플 기획 (3개월분),9,건강식품,66e4738030d74bc0.jpg,1,0,1,1
30,A000000184922,반디,[네일영양제] 반디 핑크다이아 오리지날 7ml,5,네일,1a220b0be03c9cf9.jpg,0,0,1,1
31,A000000245960,센텔리안24,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),3,스킨케어,35b4d6cb5485a19d.jpeg,0,1,1,0
32,A000000110505,이지덤뷰티,[단독특가] 대웅제약 이지덤 스팟패치 택1 (퀵카밍/뷰티/PDRN 주름/릴리프) 트러블패치,2,헬스/건강용품,0905c0d171b385f2.png,0,0,0,1
33,A000000183059,어노브,어노브 딥 데미지 리페어 샴푸 500ml 더블/듀오 기획,24,헤어케어,f5db9b1781743bac.png,1,0,0,1
34,A000000253448,덴티미,덴티미 구강장치 클리너 200ml/500ml 기획세트 (+세척솔),40,구강용품,0bc699c9c9298f3f.jpg,0,0,1,0
