stratum,상품번호,리뷰ID,label
A,A000000128148,36811210,1
A,A000000258621,63657158,1
A,A000000261321,63576359,1
A,A000000225470,61225706,1
A,A000000210617,33296919,1
A,A000000237873,62078119,1
A,A000000237815,48002983,1
A,A000000169499,61744189,1
A,A000000215559,63154145,1
A,A000000261321,63518842,1
A,A000000248506,62269343,1
A,A000000151676,9492149,1
A,B000000226723,18409808,1
A,A000000223382,59152302,1
A,A000000241565,62710326,1
A,A000000202414,61823581,1
A,A000000229921,63236139,1
A,A000000223382,58696418,1
A,A000000261321,63600433,1
A,A000000184657,21605700,1
A,A000000176923,36322101,1
A,A000000202414,62178285,1
A,A000000202414,61627371,1
A,A000000204590,33167960,1
A,A000000128148,36861459,1
A,A000000229921,62983163,1
A,A000000236454,62361476,1
A,A000000202553,46524764,1
A,A000000252276,60739289,1
A,A000000169499,61296123,1
A,A000000262240,63510504,1
A,A000000202414,61559226,1
A,A000000187242,21477647,1
A,A000000258832,63611488,1
A,A000000223604,63227546,1
A,A000000236454,62459414,1
A,A000000229921,63241757,1
A,A000000241565,62748000,1
A,A000000229631,45493700,1
A,A000000157634,11012373,1
A,A000000245722,57400278,1
A,A000000210617,33351294,1
A,A000000252276,60738740,1
A,A000000228836,63612113,1
A,A000000223382,59019673,1
A,A000000258832,63576700,1
A,A000000186037,62373185,1
A,A000000128148,37028001,1
A,A000000259488,62528367,1
A,A000000189177,37803043,1
A,A000000128148,36767365,1
A,A000000258680,64322600,1
A,A000000205327,49097876,1
A,A000000223483,39285771,1
A,A000000213267,63590518,1
A,A000000240463,54467038,1
A,A000000236862,63370985,1
A,A000000251688,58101456,1
A,A000000249440,63500795,1
A,A000000243636,62481028,1
B,A000000201182,38831903,0
B,A000000185112,60774655,0
B,A000000217893,62286396,0
B,A000000231907,54379541,0
B,A000000186166,62671396,0
B,A000000187479,20559557,0
B,A000000208190,30743816,0
B,A000000250298,62200261,0
B,A000000167214,60930080,0
B,A000000223723,62930151,0
B,A000000257331,61208022,0
B,A000000257097,63067270,0
B,A000000186409,59964670,0
B,A000000260585,63474079,0
B,A000000259499,62893502,0
B,A000000180515,63536730,0
B,A000000188256,61101864,0
B,A000000174279,62689280,0
B,A000000247245,62995969,0
B,A000000249454,63950624,0
