,실제(Actual),사전평균(무보정),시장대조(DiD),"ARIMA(1,0,0)",EARTH(MARS 근사),신경망(MLP)
D-5,105.6,105.6,105.6,105.6,105.6,105.6
D-4,101.5,101.5,101.5,101.5,101.5,101.5
D-3,109.3,109.3,109.3,109.3,109.3,109.3
D-2,109.7,109.7,109.7,109.7,109.7,109.7
D-1,77.6,77.6,77.6,77.6,77.6,77.6
D+0,203.2,100.0,194.8,110.0,177.8,177.9
D+1,75.0,100.7,76.3,95.3,84.8,79.1
D+2,210.7,100.8,200.6,105.1,184.0,179.1
D+3,149.2,101.3,144.4,99.5,141.9,137.4
D+4,136.7,100.3,132.6,102.9,132.0,127.3
D+5,123.6,99.7,120.0,99.3,122.2,119.6
D+6,176.2,100.6,164.2,102.4,159.5,156.2
D+7,94.2,96.7,99.6,96.8,107.7,102.0
D+8,173.9,100.9,163.2,102.4,161.3,156.6
D+9,115.2,101.1,115.2,101.4,121.3,117.8
