수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-21,전체,1,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,20000,10000,50.0,452698,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-07-21,전체,2,프로티원,[1+1/7월 올영픽] 프로티원 단백질쉐이크 파우치형 40g 6종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202771,3900,3900,0.0,89259,4.8,86,9,4,1,1,0,0,0,1,A000000202771,ALL
2026-07-21,전체,3,제로이드,[7/21하루특가][대용량 기획] 제로이드 수딩 크림 80ml 기획 (+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260257,38000,28500,25.0,6074,4.8,87,9,4,1,1,0,1,1,1,A000000260257,ALL
2026-07-21,전체,4,벨먼,벨먼 내추럴 스파 고보습 크리미 스크럽워시 400ml 2종 택1 (바닐라 머스크/시트러스 우디),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250140,14900,12900,13.4,692,4.8,90,5,2,1,1,1,0,0,1,A000000250140,ALL
2026-07-21,전체,5,플라이밀,[7월 올영픽/1+1] 플라이밀 단백질쉐이크 45g 12종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190168,3900,3900,0.0,100922,4.8,86,9,3,1,1,0,0,0,1,A000000190168,ALL
2026-07-21,전체,6,VT,[올데이프로젝트 포토카드 증정 ] VT 피디알엔 에어 클라우드 선스크린 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257580,26000,15900,38.8,3695,5.0,97,2,0,0,0,1,1,1,1,A000000257580,ALL
2026-07-21,전체,7,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,42000,29800,29.0,86723,4.9,89,8,2,0,0,1,0,0,1,A000000171423,ALL
2026-07-21,전체,8,마녀공장,[블랙헤드1등] 마녀공장 퓨어 소이빈 클렌징오일 200ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253617,37000,25900,30.0,53544,4.8,86,10,3,0,0,1,0,0,1,A000000253617,ALL
2026-07-21,전체,9,헤라,[7월올영픽/프리미엄 1위] 헤라 블랙 쿠션 파운데이션 기획 (15g+15g) 9 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202777,74000,59940,19.0,16819,4.8,85,11,3,1,1,1,1,1,1,A000000202777,ALL
2026-07-21,전체,10,메디힐,[단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,39900,28900,27.6,76747,4.8,85,10,3,1,1,1,0,0,1,A000000171427,ALL
2026-07-21,전체,11,브링그린,[수부지크림/유수분밸런스] 브링그린 티트리 시카 수딩 크림 플러스 100ml (2입/단품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226553,34200,19800,42.1,19114,4.8,85,11,3,1,1,1,0,0,1,A000000226553,ALL
2026-07-21,전체,12,크런틴,[7월 올영픽/NEW 블루베리요거팝] 크런틴 크런치볼 단백질쉐이크 50g 5종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227418,5900,5900,0.0,35742,4.8,89,7,3,1,1,0,0,0,1,A000000227418,ALL
2026-07-21,전체,13,아누아,[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226201,64000,27500,57.0,5117,4.8,85,9,4,1,1,1,0,0,1,A000000226201,ALL
