수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-22,전체,1,메디큐브,[7/22 하루특가/아이돌 모공패드] 메디큐브 제로 모공 패드 140매 리필 기획 (70매+70매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214358,33000,25900,21.5,16113,4.7,82,12,5,1,1,1,1,0,1,A000000214358,ALL
2026-07-22,전체,2,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,20000,10000,50.0,453447,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-07-22,전체,3,프로티원,[1+1/7월 올영픽] 프로티원 단백질쉐이크 파우치형 40g 6종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202771,3900,3900,0.0,89479,4.8,86,9,4,1,1,0,0,0,1,A000000202771,ALL
2026-07-22,전체,4,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,42000,28800,31.4,86823,4.9,89,8,2,0,0,1,1,1,1,A000000171423,ALL
2026-07-22,전체,5,로지텍,로지텍 블루투스 키보드 MX KEYS S,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000212926,169000,139000,17.8,45,5.0,96,4,,,,0,1,0,0,B000000212926,ALL
2026-07-22,전체,6,헤라,[7월올영픽/프리미엄 1위] 헤라 블랙 쿠션 파운데이션 기획 (15g+15g) 9 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202777,74000,59940,19.0,16854,4.8,85,11,3,1,1,1,1,1,1,A000000202777,ALL
2026-07-22,전체,7,벨먼,벨먼 내추럴 스파 고보습 크리미 스크럽워시 400ml 2종 택1 (바닐라 머스크/시트러스 우디),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250140,14900,12900,13.4,701,4.8,90,5,2,1,1,1,0,0,1,A000000250140,ALL
2026-07-22,전체,8,플라이밀,[7월 올영픽/1+1] 플라이밀 단백질쉐이크 45g 12종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190168,3900,3900,0.0,101188,4.8,86,9,3,1,1,0,0,0,1,A000000190168,ALL
2026-07-22,전체,9,에이페,[2주완성탈모앰플] 에이페 스칼프부스팅 앰플 (대용량 두피앰플) 150ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246985,29800,25900,13.1,1960,4.9,95,3,1,0,0,1,1,0,1,A000000246985,ALL
2026-07-22,전체,10,VT,[올데이프로젝트 포토카드 증정 ] VT 피디알엔 에어 클라우드 선스크린 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257580,26000,16900,35.0,3881,5.0,97,2,0,0,0,1,1,1,1,A000000257580,ALL
2026-07-22,전체,11,바세린,[NEW] 바세린 글루타히야 세럼 바디로션 (듀이/플로리스/프로에이지) 300ml 3종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259209,13900,9600,30.9,639,5.0,97,2,0,,,1,1,1,1,A000000259209,ALL
2026-07-22,전체,12,메디힐,[단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,39900,28900,27.6,76818,4.8,85,10,3,1,1,1,0,0,1,A000000171427,ALL
2026-07-22,전체,13,브링그린,[7월올영픽/3일진정세럼]브링그린 징크테카 트러블 세럼 대용량 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200646,56100,27900,50.3,21831,4.7,82,12,5,1,1,1,1,0,1,A000000200646,ALL
2026-07-22,전체,14,아떼,[7/22 단 하루 특가/이나연Pick/본품치크&키링 증정] 아떼 어센틱 립 글로이 밤 기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260839,33000,22900,30.6,3143,4.8,85,10,3,1,1,1,1,1,1,A000000260839,ALL
2026-07-22,전체,15,바노바기,[안소희PICK]바노바기 비타 제닉 젤리 마스크 10매 7종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240465,30000,13900,53.7,15814,4.9,96,3,1,0,0,1,0,0,1,A000000240465,ALL
2026-07-22,전체,16,헤라,[7월올영픽] 헤라 실키 스테이 24H 롱웨어 파운데이션 30g 9 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190668,70000,56500,19.3,3748,4.7,82,12,4,1,1,1,1,1,1,A000000190668,ALL
2026-07-22,전체,17,셀라딕스,[조유리 PICK/한정수량] 셀라딕스 트러블 세범 리밸런싱 131 앰플 30ml 기획 (+리필 10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255068,28900,25400,12.1,3629,4.7,82,10,5,2,2,1,0,0,1,A000000255068,ALL
2026-07-22,전체,18,마몽드,[7월 올영픽/한정기획/지성화잘먹] 마몽드 포어 컨트롤 피어니 리퀴드 마스크 외 1종 리필 기획 (+80ml 리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258670,30000,26100,13.0,18123,4.7,81,12,5,1,1,1,1,0,1,A000000258670,ALL
2026-07-22,전체,19,크런틴,[7월 올영픽/NEW 블루베리요거팝] 크런틴 크런치볼 단백질쉐이크 50g 5종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227418,5900,5900,0.0,35948,4.8,89,7,3,1,1,0,0,0,1,A000000227418,ALL
