수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-07-30,A000000211213,62044869,2026.06.29,5,0,NORMAL,[모밤기획] 모밤30ml+모밤31ml,A02,B02,"C03,C10",9,1710.0,1,1,샤르망,"항상 쓰는 수분크림인데
모밤이 더 잘맞아서 모밤세트로 구매
30밀리 사야 한달이면 쓰는데요
더 대용량도 나왔으면 좋겠어요
자주 사는것도 귀찮고
예전에는 75말리였나 튜브형으로 나온거
그게 편해서 자주 샀는데
단지형 비위생적이고 뚜껑딸때도 손닿는거 싫고
바르고 뚜껑닫을때도 화장품 묻는거싫고
튜브형 들어있는것도 용량이 작아서 너무 금방쓰고
마지막은 잘 나오지도 않고
두개합쳐서 대용량 튜브로 내주세요
찐 오랜 사용자가 정말 불편해서 쓰는거에요
모밤만큼 잘맞는 크림없는데"
2026-07-30,A000000211213,63125845,2026.07.22,5,0,NORMAL,모밤30ml+뉴메로35ml,A01,B01,"C08,C11",0,1125.0,1,0,한재현,"빌리프 모이스춰 라이징밤은 가을 겨울에 사용하기에 적당합니다. 여름에는 과한 보습제품입니다.

이제품은 보습에 중점을 둔 제품이며 발림성도 우수하며 건성분들이 바르기에 제격인 제품입니다.

여름에는 아쿠아밤 겨울에는 라이징밤을 사용을 하시면 됩니다."
2026-07-30,A000000211213,63439355,2026.07.29,5,0,NORMAL,[모밤기획] 모밤30ml+모밤31ml,A02,B02,"C03,C10",0,1080.0,1,1,샤르망,"말해모해요 빌리프 모밤 
십년 썼습니다 딴거 써도 다시 돌아와요
무겁지 않으면서 보습 진짜 짱짱하고
특히 화장전에 발라도 밀리지 않고
저는 사계절 다써도 괜찮더라구요
여름에도 안답답하고
다만 튜브형으로 대용량이 나왔으면 좋겠어요
타사이트 나오는데 올영은 없어서"
2026-07-30,A000000211213,62360002,2026.07.05,5,0,NORMAL,[모밤기획] 모밤30ml+모밤31ml,A07,B03,,1,900.0,1,0,xxzz,"보습크림이라하면 보통 꾸덕하고 무거운 제형이 떠오르는데 모이스춰밤은 보통 수분크림처럼 부드럽고 크리미한 제형이에요!
펴바르면 빠르게 싹 스며들면서 피부를 한겹 감싸주는 느낌이고, 보습력은 충분하지만 전혀 무겹거나 답답하지 않아서 사용감이 편하더라구요
유분감이 과하지 않아서 피부타입 크게 타지않고 누구에게나 잘맞을거같아요💙"
2026-07-30,A000000211213,62628925,2026.07.10,5,0,NORMAL,[모밤기획] 모밤30ml+모밤31ml,A03,B02,"C05,C06",0,756.0,1,0,소링,여름엔 아밤 봄가을겨울엔 모밤 아주 좋아요! 보습력 짱짱합니다
2026-07-30,A000000211213,63067794,2026.07.20,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,A02,B02,"C01,C02",1,594.0,0,0,꼬깔꼰,"기대했던 것보다 만족스러웠고, 꾸준히 사용하기 좋은 제품이라 생각합니다."
2026-07-30,A000000211213,62015057,2026.06.28,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,A02,B03,"C01,C02",1,558.0,1,0,오올챙,빌리프 모이스춰라이징 밤은 사용감이 좋아요. 우윳빛의 부드러운 크림 제형입니다. 아침 저녁 사용하면 수분감과 영양감 같이 챙길 수 있어요.
2026-07-30,A000000211213,62470680,2026.07.07,5,0,NORMAL,[모밤기획] 모밤30ml+모밤31ml,A03,B02,"C02,C03",0,540.0,1,0,beombeom,"모밤 좋다고 얘기는 들었으나 막상 구매까진 하지 않았어요.
근데 여러가지 수분크림을 알아보고 구매하려는데
이 제품 생각이 났고 올영에서 판매하는 구성이
마음에 들더라구요.
50미리 본품이 보통 많은데 30미리라 
저는 다양하게 많은 제품들을 번갈아가며 쓰는걸 좋아하는데
오히려 30미리가 좋더라구요.
31미리는 튜브타입이어서 출장이나 여행시 
본품 안들고 다니고 이거 갖고 다니면 좋겠구요.
적당히 쫀쫀하고 보습력이 좋아요."
2026-07-30,A000000211213,61297620,2026.06.11,5,0,NORMAL,[기획] 모밤30+25+마스크25+세럼4,A06,B02,"C01,C02",3,450.0,1,1,올영야홍,"구매할때마다 구성도 좋고 
제형도 부드러워서 발림성도 진짜 좋고 
유수분밸런스도 좋아서 여름 겨울 둘 다 좋더라구요

제품력 : ❤️🧡💛💚🩵
만족도 : ❤️🧡💛💚🩵
가성비 : ❤️🧡💛💚🩵
재구매의사 : ❤️🧡💛💚🩵"
2026-07-30,A000000211213,61949294,2026.06.26,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,A01,B01,C01,2,378.0,1,0,보라미감자,보습력 좋네요 지성인데 번들거림 없이 촉촉한 정도입니다 ~!!
2026-07-30,A000000211213,61910995,2026.06.25,5,0,NORMAL,[모밤기획] 모밤30ml+모밤31ml,A01,B05,C01,6,378.0,1,0,숙달,수부지인데 기초 조금 무겁게 하는 사람들에게 완전 추천해요 촉촉한데 너무 기름지지 않게 마무리 되어서 좋아요 n번째 재구매템
2026-07-30,A000000211213,61389862,2026.06.13,5,0,NORMAL,[모밤기획] 모밤30ml+뉴메로35ml,A04,B03,"C01,C02",4,378.0,1,0,joyyride,"이 크림 싫어하는 사람 못봤으...
N통째 사용중인데 바를때마다 사계절 365크림으로 참 좋음"
2026-07-30,A000000211213,60596402,2026.06.01,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,,,,0,378.0,1,0,뇨냐냐뇨,"바나나킥이랑 콜라보한거 신박하고 키링 넘 귀여워용 
제품력도 굿~~"
2026-07-30,A000000211213,60586763,2026.06.01,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,A04,B01,"C05,C09",1,378.0,1,0,하이구,수분이 한가득 묻어있는데도 너무 묽지않고 적당한 느낌이라 훨씬 촉촉하게 느껴지더라구요.
2026-07-30,A000000211213,60446017,2026.05.31,5,0,NORMAL,[기획] 모밤30+25+마스크25+세럼4,A01,B01,"C05,C07",1,378.0,1,0,ah31046,"기획이 짱짱해서 좋아요
피부가 당기거나 건조할 때 바르기 좋은 수분크림이에요
제형이 무겁지 않아서 부담없이 막 바르기 좋아요"
2026-07-30,A000000211213,60445470,2026.05.31,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,A01,B01,"C05,C07",1,378.0,1,0,ah31046,"피부에 보습 채우기 좋은 크림이에요
제형이 무겁지 않고 피부에 겉돌지 않아서 좋아요
겨울에 수분크림으로 잘 썼어요"
2026-07-30,A000000211213,62920167,2026.07.17,5,0,NORMAL,[모밤기획] 30ml 1+1&키링파우치,,,,0,270.0,1,0,kimzhenghai,빌리프의 믿고 쓰는 모이스춰라이징 밤답게 피부 속까지 수분과 보습을 쫀쫀하게 꽉 채워줘서 감탄했어용 💦 무겁거나 답답한 느낌 없이 부드럽게 녹아내리듯 스며들어서 데일리 수분크림으로 쓰기 딱 좋습니다 한 달 내내 건조함 없이 피부를 촉촉하고 매끄럽게 유지해 줘서 정착했구 1+1 구성에 귀여운 키링 파우치까지 줘서 완전 혜자예용
