수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-08-07,전체,1,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414117ko.jpg?l=ko,20000,10000,50.0,467755,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-08-07,전체,2,프롬랩스,[8월올영픽/한정기획] 프롬랩스 단백질 흡착 트리트먼트 200ml 더블기획 (1회 만에 손상모 개선),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239676,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023967625ko.png?l=ko,37500,29500,21.3,2488,4.9,92,5,2,0,0,1,0,0,1,A000000239676,ALL
2026-08-07,전체,3,헤트라스,[단독선런칭/8월 올영픽] 헤트라스 고체탈취제 300g 2개입 5종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261733,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026173310ko.png?l=ko,18800,18200,3.2,208,5.0,98,2,0,,,1,1,0,1,A000000261733,ALL
2026-08-07,전체,4,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423164ko.png?l=ko,42000,29800,29.0,88352,4.9,89,8,2,0,0,1,0,0,1,A000000171423,ALL
2026-08-07,전체,5,메디힐,[업그레이드 리뉴얼/단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171427227ko.png?l=ko,39900,28900,27.6,78014,4.8,85,10,3,1,1,1,0,0,1,A000000171427,ALL
2026-08-07,전체,6,한율,[최초/1+1] 한율 패드 리필 기획 2종 택1 (쑥시카 트러블진정/쑥히알 속수분),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259474,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025947410ko.jpg?l=ko,40000,26200,34.5,6461,4.8,85,10,3,1,0,1,1,1,1,A000000259474,ALL
2026-08-07,전체,7,한율,[1+1] 한율 트러블 진정 쑥시카 수분 크림 기획 (55ml+55ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222882,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022288225ko.jpg?l=ko,38000,27300,28.2,7477,4.8,86,10,3,0,1,1,1,1,1,A000000222882,ALL
2026-08-07,전체,8,비플레인,[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260522,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052209ko.jpg?l=ko,26000,23500,9.6,18070,4.9,89,8,2,0,0,1,1,1,1,A000000260522,ALL
2026-08-07,전체,9,쏘내추럴,[8월 올영픽/한정기획] 쏘내추럴 올 데이 블러 메이크업 세팅 픽서 (+블러프렙10ml 증정) 기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226481,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022648118ko.jpg?l=ko,25000,19000,24.0,3534,4.8,83,12,4,1,0,1,1,0,1,A000000226481,ALL
2026-08-07,전체,10,일리윤,일리윤 프레쉬모이스춰 스크럽워시 400ml*2 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167416,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016741609ko.jpg?l=ko,24900,17900,28.1,11549,4.9,89,8,2,0,0,1,0,0,1,A000000167416,ALL
2026-08-07,전체,11,토리든,[NEW/1등수분세럼] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 기획(+리필 50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258291,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025829122ko.jpg?l=ko,36000,25650,28.7,4674,4.9,90,7,2,0,0,1,1,0,1,A000000258291,ALL
