수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-07-20,A000000223414,62357391,2026.07.05,5,0,OFFLINE,마데카소사이드 흔적리페어 1매,A04,B04,C04,18,10854.0,1,0,봉보옹,"메디힐 에센셜 마스크팩 
마데카소사이드 흔적리페어
수분 잡티흔적 진정 ~~~에 좋아요 ~~"
2026-07-20,A000000223414,62357115,2026.07.05,5,0,OFFLINE,콜라겐 코어탄력 1매,A04,B04,C04,18,10854.0,1,0,봉보옹,"메디힐 에센셜 마스크팩
콜라겐 코어탄력 마스크팩이라 탄력 ~~ 케어에 좋고 탱탱하고 좋아요"
2026-07-20,A000000223414,62784776,2026.07.14,5,0,NORMAL,비타민씨 잡티토닝 4매,A04,B02,"C04,C05",8,7560.0,1,1,굼미굼미,"어제도 사용했는데 오늘 아침에 일어나니까 피부탄력이 너무 좋아요 ㅋ_ㅋ 
미백은 당연하고 진정에 탄력까지 효과적이라 최근에는 계속 이 [비타민씨 잡티토닝 마스크팩]만 사용하고 있어요. 여름철에는 미백팩은 필수라서 주기적으로 사용해주는데 단시간 효과도 좋고, 계속 사용하다보면 피부톤 어두워지지 않고 화사해진다고 해야 할까요? 피부에 생기가 도는 느낌 ㅎㅎ"
2026-07-20,A000000223414,62087081,2026.06.30,5,0,OFFLINE, 티트리 진정수분 1매,A06,B03,C03,18,6156.0,0,0,졸구탱,순도 99프로 티트리 함유라 즉각 진정되서 좋아요 ~~!!
2026-07-20,A000000223414,62488621,2026.07.07,5,0,OFFLINE, 마데카소사이드 흔적 리페어 4매,A03,B02,"C01,C05",8,4914.0,1,0,jamongg,"ㅎㅎ여드름 피부인데요 잘 쓰고 있어요~!
ㅎㅎ 좋습니다  자주 사용해요"
2026-07-20,A000000223414,62733724,2026.07.13,5,0,NORMAL,비타민씨 잡티토닝 4매,A04,B02,"C04,C05",4,4680.0,1,1,굼미굼미,"한달 전에도 구매, 이번달에도 구매했어요 ㅎㅎ
유독 여름철 피부미백제품은 [메디힐 비타민씨 잡티토닝]이 딱이더라구요. 사용 후 피부 화사함이 바로 나타나니까 꾸준히 사용하게 돼요. 거의 이틀에 한번정도 사용하는데 외출로 인해서 피부가 상하거나 열감이 있을 때도 꼭 사용해줘요. 그럼 다음날 피부톤 변화없고, 손상없이 유지되더라구요! 여름철에 피부관리는 마스크팩이 최고라고 봅니다 ^ㅇ^

끈적임없이 흡수율 좋아요!"
2026-07-20,A000000223414,62151942,2026.07.01,5,0,NORMAL,로제 PDRN 모공결광 4매,A03,B01,"C03,C09",10,4500.0,1,0,영화로운,"요즘 pdrn 유행이니까, 약간 콧물 제형 ㅎㅎ
점도가 좀 있고 에센스 충분함
밀착력 좋고 딱 20분 붙였다 떼면 촉촉 ㅎㅎ
여름엔 냉장고 넣어뒀다 쓰고
한장씩 들고 다니며 회사에서 급하게 수분 보충 하기도 함 ㅎㅎ
후기가 도움이 됐다면 [도움이 돼요]👍 눌러주시면 감사합니다🧡🧡"
2026-07-20,A000000223414,62369084,2026.07.05,5,0,NORMAL,로제 PDRN 모공결광 4매,A06,B02,"C01,C05",6,4374.0,1,1,동동동대문,피디알엔은 피부가 많이 건조할때 보습용으로 좋아요! 피부결이 좋아져요
2026-07-20,A000000223414,62370660,2026.07.05,5,0,NORMAL,히알루론산 고밀도 수분 1매,A01,B01,"C03,C04",8,4050.0,1,1,올리뷰과몰입,"역시 유명한 건 이유가 있나 봄 ㅋㅋ 
지성 피부라 너무 꾸덕한 팩은 부담스러운데
이건 에센스가 딱 깔끔하게 수분만 채워주는 느낌이라 
너무 좋았음

시트가 진짜 부드러워서 얼굴에 올렸을 때
자극이 하나도 없음 한 달 동안 매일 저녁마다
팩 붙이고 있었는데 트러블 하나 안 올라오고
피부가 엄청 순하게 진정되는 느낌임 ㅋㅋ 

무엇보다 팩 하고 나면 속건조가 싹 잡힘

에센스 양도 적당해서 끈적임 없이 딱 좋고 마무리감이 산뜻해서 여름에도 쓰기 너무 괜찮음
왜 다들 이거 쟁여두고 쓰는지 완전 이해했음

앞으로 내 수분 충전은 무조건 이거임 재구매 의사 200퍼센트임 고민하는 사람들은 믿고 한번 써보길 추천함"
2026-07-20,A000000223414,62064152,2026.06.29,5,0,OFFLINE,콜라겐 코어탄력 1매,A03,B03,C03,9,3996.0,1,0,뀽융,메디힐 에센셜 마스크팩 콜라겐 코어탄력이라 탱탱해져요 ~
2026-07-20,A000000223414,61692375,2026.06.20,5,0,NORMAL,티트리 진정수분 4매,A02,B05,"C01,C05",8,3780.0,1,1,lulululalalah,"* 이마나 턱에 가끔씩 피부 트러블 올라오는 편이라
티트리 마스크팩 꾸준히 쓰면서 관리해주고 있어요!!

* 티트리 마스트팩 다양하게 써봤는데
메디힐 제품이 가장 좋은 것 같아요!!

* 아침저녁 둘다 사용하기 좋고 수분충전용으로도
추천해요!"
2026-07-20,A000000223414,62136282,2026.07.01,5,0,NORMAL,히알루론산 고밀도 수분 4매,A03,B01,"C01,C05",8,3636.0,1,0,도비블리,"얼굴 수분감 채워주고 좁쌀 고민인 분들은 추천추천
각질제거 한번 싹 해주고 이거하고 장벽크림 발라주면 얼굴 트러블 진정 잘돼서 만족중"
2026-07-20,A000000223414,62080541,2026.06.30,5,0,OFFLINE,콜라겐 코어탄력 1매,A03,B01,"C06,C09",10,3636.0,0,0,튠식2,메디힐 에센셜 마스크팩 콜라겐 코어탄력 마스크팩이라 촉촉하고 좋아요
2026-07-20,A000000223414,62080479,2026.06.30,5,0,OFFLINE, 티트리 진정수분 1매,A03,B01,"C06,C09",10,3636.0,0,0,튠식2,메디힐 에센셜 마스크팩 티트리 진정수분 마스크팩이라 진정케어로 사용해요
2026-07-20,A000000223414,62038662,2026.06.29,5,0,NORMAL,비타민씨 잡티토닝 4매,A04,B01,"C05,C09",8,3636.0,1,1,하이구,"시트재질이 얇은데 밀착력이 진짜 좋고 
앰플도 많이 묻어있어 좋더라구요~가성비 👍"
